chapter,line_id,command,target,condition,expression,next_true,next_false,text,options,text_effect,text_effect_param,text_animation_duration,image_filename,portrait_filename,bgm_filename
chapter_1,meta_ui_title,META,ui_title,,,,,双影档案,,normal,,0,,,
chapter_1,meta_ui_subtitle,META,ui_subtitle,,,,,两名角色 / 多变量 / 多结局样例,,normal,,0,,,
chapter_1,meta_profile_name,META,profile_name,,,,,林澈,,normal,,0,,,
chapter_1,meta_profile_status,META,profile_status,,,,,学生会调查员,,normal,,0,,,
chapter_1,meta_profile_portrait,META,profile_portrait,,,,,linche_normal.png,,normal,,0,,,
chapter_1,meta_hidden_stats,META,hidden_stats,,,,,"暗线分,结局分数,随机干扰",,normal,,0,,,
chapter_1,meta_initial_bgm,META,initial_bgm,,,,,Cold Room Echoes.mp3,,normal,,0,,,
chapter_1,init_trust,SET,信任度,,35,,,,,normal,,0,,,
chapter_1,init_reason,SET,理智,,60,,,,,normal,,0,,,
chapter_1,init_clue,SET,线索,,0,,,,,normal,,0,,,
chapter_1,init_time,SET,时间压力,,20,,,,,normal,,0,,,
chapter_1,init_sync,SET,同步度,,30,,,,,normal,,0,,,
chapter_1,init_shadow,SET,暗线分,,0,,,,,normal,,0,,,
chapter_1,init_noise,SET,随机干扰,,0,,,,,normal,,0,,,
chapter_1,start,TEXT,林澈,,,,,晚自习后的旧教学楼只剩应急灯。沈未站在档案柜前，手里攥着一张被烧掉一角的值班表。,,normal,,1.3,old_school_corridor.png,linche_normal.png,Cold Room Echoes.mp3
chapter_1,meet_shen,TEXT,沈未,,,,,你来晚了三分钟。门禁记录被人改过，我只能确认一点：今晚有人故意把我们引到这里。,,normal,,1.2,,shenwei_calm.png,
chapter_1,first_choice,CHOICE,林澈,,,,,你决定先如何回应沈未？,A:先安抚她，确认她是否安全->comfort;B:直接追问值班表来源->question;C:要求分头搜索，提高效率->split_probe,normal,,0.5,,linche_thinking.png,
chapter_1,comfort,ADD,信任度,,12,,,,,normal,,0,,,
chapter_1,,ADD,同步度,,8,,,,,normal,,0,,,
chapter_1,,TEXT,林澈,,,,,先别急。你有没有受伤？这栋楼的电路不正常，我们先保持同一侧行动。,,normal,,1.0,,linche_normal.png,
chapter_1,,TEXT,沈未,,,,,……谢谢。值班表是我从学生会旧柜里找到的，上面被划掉的名字，是你。,,normal,,1.1,,shenwei_soft.png,
chapter_1,,ADD,线索,,1,,,,,normal,,0,,,
chapter_1,,GOTO,archive_room,,,,,,,normal,,0,,,
chapter_1,question,ADD,线索,,2,,,,,normal,,0,,,
chapter_1,,ADD,理智,,5,,,,,normal,,0,,,
chapter_1,,ADD,信任度,,-6,,,,,normal,,0,,,
chapter_1,,TEXT,林澈,,,,,先说来源。这个时间点，任何证据都可能是诱饵。,,normal,,1.0,,linche_serious.png,
chapter_1,,TEXT,沈未,,,,,你还是老样子，先怀疑人，再处理事。来源可靠，但我暂时不能说。,,normal,,1.0,,shenwei_cold.png,
chapter_1,,GOTO,archive_room,,,,,,,normal,,0,,,
chapter_1,split_probe,ADD,时间压力,,-5,,,,,normal,,0,,,
chapter_1,,ADD,信任度,,-10,,,,,normal,,0,,,
chapter_1,,ADD,暗线分,,6,,,,,normal,,0,,,
chapter_1,,TEXT,林澈,,,,,分头看两侧教室，五分钟后回到这里。不要碰开着的电脑。,,normal,,1.0,,linche_serious.png,
chapter_1,,RAND,,,0.45,split_accident,split_clean,,,normal,,0,,,
chapter_1,split_accident,ADD,随机干扰,,1,,,,,normal,,0,,,
chapter_1,,ADD,理智,,-12,,,,,normal,,0,,,
chapter_1,,TEXT,沈未,,,,,林澈，广播室的灯自己亮了。有人在播放你的声音。,,color,#E0A652,1.1,broadcast_room_glow.png,shenwei_alert.png,
chapter_1,,GOTO,archive_room,,,,,,,normal,,0,,,
chapter_1,split_clean,ADD,线索,,1,,,,,normal,,0,,,
chapter_1,,TEXT,沈未,,,,,东侧没有人，但我找到一张新的便利贴：别相信完整的证据。,,normal,,1.0,,shenwei_calm.png,
chapter_1,,GOTO,archive_room,,,,,,,normal,,0,,,
chapter_1,archive_room,TEXT,林澈,,,,,档案室的门没锁。桌上摆着两份材料：一份是监控截图，一份是匿名举报信。,,normal,,1.2,archive_room.png,linche_thinking.png,Cold Room Echoes 2.mp3
chapter_1,evidence_choice,CHOICE,沈未,,,,,沈未看向你：先查哪一份？,A:先看监控截图->check_camera;B:先读匿名举报信->check_letter;C:两份都不碰，先检查房间->check_room,normal,,0.5,,shenwei_calm.png,
chapter_1,check_camera,ADD,线索,,2,,,,,normal,,0,,,
