chapter,line_id,command,target,condition,expression,next_true,next_false,text,options,text_effect,text_effect_param,text_animation_duration,image_filename,portrait_filename,bgm_filename
chapter_1,meta_ui_title,META,ui_title,,,,,双影档案：旧楼回声·加长对话版,,normal,,0,,,
chapter_1,meta_ui_subtitle,META,ui_subtitle,,,,,悬疑视觉小说脚本 / 强对话 / 多分支 / 多结局,,normal,,0,,,
chapter_1,meta_profile_name,META,profile_name,,,,,林澈,,normal,,0,,,
chapter_1,meta_profile_status,META,profile_status,,,,,学生会调查员,,normal,,0,,,
chapter_1,meta_profile_portrait,META,profile_portrait,,,,,linche_normal.png,,normal,,0,,,
chapter_1,meta_hidden_stats,META,hidden_stats,,,,,"暗线分,结局分数,随机干扰,真相碎片,危险标记,沈未隐瞒",,normal,,0,,,
chapter_1,meta_initial_bgm,META,initial_bgm,,,,,Cold Room Echoes.mp3,,normal,,0,,,
chapter_1,init_trust,SET,信任度,,35,,,,,normal,,0,,,
chapter_1,init_reason,SET,理智,,60,,,,,normal,,0,,,
chapter_1,init_clue,SET,线索,,0,,,,,normal,,0,,,
chapter_1,init_time,SET,时间压力,,20,,,,,normal,,0,,,
chapter_1,init_sync,SET,同步度,,30,,,,,normal,,0,,,
chapter_1,init_shadow,SET,暗线分,,0,,,,,normal,,0,,,
chapter_1,init_noise,SET,随机干扰,,0,,,,,normal,,0,,,
chapter_1,init_truth,SET,真相碎片,,0,,,,,normal,,0,,,
chapter_1,init_danger,SET,危险标记,,0,,,,,normal,,0,,,
chapter_1,init_secret,SET,沈未隐瞒,,1,,,,,normal,,0,,,
chapter_1,start,TEXT,林澈,,,,,旧教学楼的走廊比记忆里更窄。应急灯每隔七秒闪一次，绿色光斑从墙皮上滑过去，像有人在黑暗里缓慢眨眼。,,normal,,1.4,old_school_corridor.png,linche_normal.png,Cold Room Echoes.mp3
chapter_1,,TEXT,林澈,,,,,我是在二十一点十三分收到沈未消息的。她只发了六个字：别问，来旧楼。,,normal,,1.2,,linche_thinking.png,
chapter_1,,TEXT,林澈,,,,,我本来想回一句“你又惹什么麻烦了”，可手指停在屏幕上时，忽然想起她已经很久没主动找过我。,,normal,,1.2,,linche_thinking.png,
chapter_1,,TEXT,林澈,,,,,上一次我们像这样单独站在一条走廊里，还是学生会改选那天。她把我的调查报告按在桌上，问我是不是非要把所有人都逼到墙角。,,normal,,1.3,,linche_normal.png,
chapter_1,,TEXT,林澈,,,,,我当时回答：墙角至少没有退路，人在那里比较容易说真话。,,normal,,1.1,,linche_serious.png,
chapter_1,meet_shen,TEXT,沈未,,,,,你来晚了三分钟。,,normal,,1.0,,shenwei_calm.png,
chapter_1,,TEXT,林澈,,,,,沈未站在档案柜前，校服外套搭在胳膊上，指节因为攥得太紧而发白。她脚边有一片碎玻璃，像刚从相框里掉出来。,,normal,,1.3,archive_room.png,linche_thinking.png,
chapter_1,,TEXT,沈未,,,,,别看门口，看我。门禁记录被人改过，监控也不完整。我只能确认一点：今晚有人故意把我们引到这里。,,normal,,1.2,,shenwei_alert.png,
chapter_1,,TEXT,林澈,,,,,你声音在抖。,,normal,,0.9,,linche_normal.png,
chapter_1,,TEXT,沈未,,,,,我没有。,,normal,,0.8,,shenwei_cold.png,
chapter_1,,TEXT,林澈,,,,,你每次说谎都会先否认一个没人指控你的事实。,,normal,,1.0,,linche_serious.png,
chapter_1,,TEXT,沈未,,,,,那你每次害怕的时候都会开始分析别人。,,normal,,1.0,,shenwei_cold.png,
chapter_1,,TEXT,林澈,,,,,短暂的沉默落下来。旧楼外的梧桐枝敲着窗，声音轻得像指甲刮过纸面。,,normal,,1.1,,linche_thinking.png,
chapter_1,first_choice,CHOICE,林澈,,,,,沈未把一张烧掉一角的值班表递过来。你先怎么回应？,A:先安抚她，确认她是否安全->comfort;B:直接追问值班表来源->question;C:要求分头搜索，提高效率->split_probe;D:先检查门禁终端->access_terminal,normal,,0.6,,linche_thinking.png,
chapter_1,comfort,ADD,信任度,,12,,,,,normal,,0,,,
chapter_1,,ADD,同步度,,8,,,,,normal,,0,,,
chapter_1,,TEXT,林澈,,,,,先别急。你有没有受伤？这栋楼电路不正常，窗户也被人动过。我们先别分开。,,normal,,1.1,,linche_normal.png,
chapter_1,,TEXT,沈未,,,,,她愣了一下，像是没料到你会先问这个。,,normal,,0.9,,shenwei_soft.png,
chapter_1,,TEXT,沈未,,,,,没有。只是手被玻璃划了一下，很浅。,,normal,,0.9,,shenwei_soft.png,
chapter_1,,TEXT,林澈,,,,,你把纸巾递给她。她接过去时避开了你的眼睛，动作却慢了半拍。,,normal,,1.0,,linche_normal.png,
chapter_1,,TEXT,沈未,,,,,别用这种表情看我。我找你来不是为了和好。,,normal,,1.0,,shenwei_calm.png,
chapter_1,,TEXT,林澈,,,,,我知道。可如果今晚有人想让我们互相怀疑，至少我不想先替那个人完成任务。,,normal,,1.2,,linche_serious.png,
chapter_1,,TEXT,沈未,,,,,她把值班表摊平。被烧焦的边缘卷成黑色，最中间有一个被划掉的名字。,,normal,,1.1,,shenwei_calm.png,
chapter_1,,TEXT,沈未,,,,,这个名字，看起来像你。,,normal,,1.0,,shenwei_alert.png,
chapter_1,,ADD,线索,,1,,,,,normal,,0,,,
chapter_1,,GOTO,pre_archive,,,,,,,normal,,0,,,
chapter_1,question,ADD,线索,,2,,,,,normal,,0,,,
chapter_1,,ADD,理智,,5,,,,,normal,,0,,,
chapter_1,,ADD,信任度,,-6,,,,,normal,,0,,,
chapter_1,,TEXT,林澈,,,,,先说来源。这个时间点，任何证据都可能是诱饵，尤其是你这种只给结论不给过程的证据。,,normal,,1.1,,linche_serious.png,
chapter_1,,TEXT,沈未,,,,,你果然第一句就是审问。,,normal,,0.9,,shenwei_cold.png,
chapter_1,,TEXT,林澈,,,,,这不是审问，是建立证据链。,,normal,,0.9,,linche_serious.png,
chapter_1,,TEXT,沈未,,,,,证据链。你以前也是这么说的。你把一个活人拆成时间、地点、动机和漏洞，然后告诉她：你只是想知道真相。,,normal,,1.3,,shenwei_cold.png,
chapter_1,,TEXT,林澈,,,,,我没想伤害你。,,normal,,0.8,,linche_normal.png,
chapter_1,,TEXT,沈未,,,,,但你很擅长。,,normal,,0.9,,shenwei_cold.png,
chapter_1,,TEXT,林澈,,,,,这句话比走廊里的冷风更尖。你没有反驳，因为有些事实不需要承认也成立。,,normal,,1.1,,linche_thinking.png,
chapter_1,,TEXT,沈未,,,,,值班表是我从学生会旧柜里找到的。来源可靠，但我暂时不能说。,,normal,,1.0,,shenwei_calm.png,
chapter_1,,TEXT,林澈,,,,,暂时，通常意味着你已经决定什么时候说，只是不包括现在。,,normal,,1.0,,linche_serious.png,
chapter_1,,TEXT,沈未,,,,,也可能意味着我还没决定要不要相信你。,,normal,,1.0,,shenwei_cold.png,
chapter_1,,GOTO,pre_archive,,,,,,,normal,,0,,,
chapter_1,split_probe,ADD,时间压力,,-5,,,,,normal,,0,,,
chapter_1,,ADD,信任度,,-10,,,,,normal,,0,,,
chapter_1,,ADD,暗线分,,6,,,,,normal,,0,,,
chapter_1,,TEXT,林澈,,,,,分头看两侧教室，五分钟后回到这里。不要碰开着的电脑，不要接电话。,,normal,,1.0,,linche_serious.png,
chapter_1,,TEXT,沈未,,,,,你还是这么喜欢把风险分配给别人。,,normal,,0.9,,shenwei_cold.png,
